unique_id,f_name_english,f_name_arabic,facility_category_name_english,facility_category_name_arabic,facilitysubcategorynameenglish,facilitysubcategorynamearabic,address_line_one,address_line_two_english,address_line_two_arabic,po_box,website,telephone_1,telephone_2,fax,expiry_date,status,area_id,x_coordinate,y_coordinate,email,area_english,area_arabic
568,Hellenic Dental Clinic,عيادة هيلانيك لطب الاسنان,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Al Badaa,Al Wasl Road 315–341,Jumeira - 1,,,971-050-45755045,,,9/22/2020,FAC_ACT,106,25.2178466,55.26110146,,Jumeira - 1,Jumeira - 1
574,Al Mashaher Medical Centre,مركز المشاهير الطبي,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Shop No.2,Muhaisnah 2,Muhaisanah - 2,,,971-50-1982806,,,9/5/2020,FAC_ACT,90,25.170577,55.150404,mashaher7@gmail.com,Muhaisanah - 2,Muhaisanah - 2
578,Super Care Pharmacy Mirdif 2,صيدلية سوبر كير مردف ٢,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Spinneys,53rd Street 16,Mirdif,,,04-3445246,,,9/13/2020,FAC_ACT,86,25.22251126,55.43585349,hanan.a@supercare.ae,Mirdif,Mirdif
582,Khalidha Medical Centre LLC,عيادة خالدة الطبية ش. ذ.م.م,General Practice,طب عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Government Of Dubai-Real Estatae Corporation  Lessee: Adeem Real Estate,Latifa Bint Hamdan Street,Al Qoze - 4,,,971-52-9963433,,,9/16/2020,FAC_ACT,122,25.15107473,55.24352294,msaazeez@rediffmail.com,Al Qoze - 4,Al Qoze - 4
583,New Health Call JLT,نيو هيلث كول ا ب ج,Pediatrics,طب الأطفال,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Red Diamond,Al Sarayat Street,Jumeira Lakes Towers,,,971-055-5759895,,,12/18/2020,FAC_ACT,140,25.07751188,55.15539804,,Jumeira Lakes Towers,Jumeira Lakes Towers
586,Levantine Dental Clinc,ليفانتين لطب الأسنان,Orthodontics,تقويم أسنان,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Shiek Saeed Al-Maktoum Building,Shiek Zayed Road,Al Safa - 1,,,055-55-90201,,,9/22/2020,FAC_ACT,116,25.170577,55.150404,dr.nahas@hotmail.com,Al Safa - 1,Al Safa - 1
587,Fajer Alwarqa Pharmacy,صيدلية فجر الورقا,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Matar Bin Ghadir,414 Street,Al Warqaa - 1,,,971-50-4353712,,,11/22/2020,FAC_ACT,144,25.18494822,55.40935932,eslamelhelaly@hotmail.com,Al Warqaa - 1,Al Warqaa - 1
594,Dr Ismail Polyclinic Branch,مجموعة الدكتور اسماعيل الطبي فرع,General Practice,طب عام,General Clinic,عيادة عامة,Awqaf Building,Jebalali Ind Area,Jebeel Ali - 1,,,971-50-4547432,,,10/4/2020,FAC_ACT,136,25.170577,55.150404,doctor53@eim.ae,Jebeel Ali - 1,Jebeel Ali - 1
616,S B N Pharmacy,صيدلية اس بي ان,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Al Sheikh Fahad Saad Al Abdulla Al Salem Al Sabah,11 Street 4,Deira,,,971-52-6273456,,,3/20/2021,FAC_ACT,2,25.26576557,55.30931334,pro@gaiahealthcare.com,Deira,Deira
622,Manchester Community Pharmacy,صيدلية مانشيستر كوميونتي,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Manchester Tower 1,Al Seba Street,Dubai Marina and Jumeira Beach,,,971-55-8434010,,,3/13/2021,FAC_ACT,139,25.06865363,55.1318449,hasseeb@communityhealthonline.com,Dubai Marina and Jumeira Beach,Dubai Marina and Jumeira Beach
623,BELLA ROMA SPECIALTY HOSPITAL L.L.C, مستشفى بيلاروما التخصصي ش ذ م م ,Plastic Surgery,الجراحة التجميلية,Specialty Hospital (<50),مستشفى تخصصي (أقل من 50 سرير),Bella Roma Medical & Aesthetic Surgery Center G+1,"Al Wasl Road , Safa2",Al Safa - 2,,,971-50-7593099,,,10/28/2020,FAC_ACT,120,25.170577,55.150404,faten.bella.roma@gmail.com,Al Safa - 2,Al Safa - 2
625,Doctor Haitham Salman Salih Plastic Surgery Clinc,عيادة الدكتور هيثم سلمان صالح لجراحة التجميل,Plastic Surgery,الجراحة التجميلية,Specialty Clinic,عيادة تخصصية ,Mai Tower Al Nahda First,Amman Street,Al Nahda - 1,,,971-50-8816064,,,7/10/2020,FAC_ACT,73,25.28775946,55.3654737,haythamadhami@yahoo.com,Al Nahda - 1,Al Nahda - 1
630,United Medical Center,مركز يونايتد الطبي,Cardiology,أمراض القلب,Day Surgery Center,مركز جراحة اليوم,Wafi Mall,Oud Metha,Oudh Metha,,www.unitedmedical.ae,971-50-8998943,,,11/9/2020,FAC_ACT,43,25.170577,55.150404,shenoof@unitedmedical.ae,Oudh Metha,Oudh Metha
631,Mediclinic Deira Clinic Br Of Mediclinic Clinics Investment LLC,عيادة ميديكلينك ديره فرع من ميدىكلينك كلينكس انفيسمينت ش. ذ. م.م,Ophthalmology,أمراض العيون,Day Surgery Center,مركز جراحة اليوم,Deira,شارع 22 30,Port Saeed,,,971-52-2856093,,,7/4/2020,FAC_ACT,32,25.2506036,55.33514236,indu.rajesh@mediclinic.ae,Port Saeed,Port Saeed
633,Nagem Dental Diet And Laser Center LLC,مركز نجم للاسنان والرشاقة والليزر ش ز م م,Orthodontics,تقويم أسنان,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Cbd Building # E05,international city ,Warsan - 1,,www.dentalclinic.ae,971-50-5577130,,,11/3/2020,FAC_ACT,158,25.16394328,55.40622844,nagemdentalcenter@gmail.com,Warsan - 1,Warsan - 1
640,Advanced Orthospine Health Center,مركز ادفانسد اورتوسباين الصحي,Physiotherapy,علاج طبيعي,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Al Wasl Tower,Al Wasl Road,Al Bada,,,971-50-5883955,,,8/13/2020,FAC_ACT,107,25.21384044,55.25848793,faribaf@hotmail.com,Al Bada,Al Bada
647,Oud Al Muteena Medical Center,مركز عودالمطينة الطبي,Obstetrics and Gynecology,أمراض النساء والولادة,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Emirates Coop,31 Street,Oud Al Mutaina,,,009-715-01140180,,,11/14/2020,FAC_ACT,171,25.26137313,55.44130845,info@ommc.ae,Oud Al Mutaina,Oud Al Mutaina
657,Nestle Medical Center,مركز نستله الطبي,,,General Clinic,عيادة عامة,Nuzul Bld No 5,Jebel Ali Industrial Area 1,Jebeel Ali - 1,,,971-50-1166581,,,3/13/2020,FAC_CAN,136,25.170577,55.150404,cristina@elitemedicalcentre.com,Jebeel Ali - 1,Jebeel Ali - 1
658,Bright Smile Dental And Orthodontic Center,مركز برايت سمايل لطب و تقويم الأسنان,Orthodontics,تقويم أسنان,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Al Shafar Building 7,2d Street 158,Al Bada,,www.brightsmile.ae,052-767-8728,,,11/22/2020,FAC_ACT,107,25.21376272,55.2585175,info@brightsmile.ae,Al Bada,Al Bada
659,North American Lasik And Eye Surgery Center L L C,مركز الشمال الإمريكي لليزك و جراحة العيون ذ.م.م,Ophthalmology,أمراض العيون,Day Surgery Center,مركز جراحة اليوم,Villa No.1,Ak Wasl Road,Jumeira - 1,,,971-55-5500141,,,11/22/2020,FAC_ACT,106,25.170577,55.150404,Drabdullanaqi@gmail.com,Jumeira - 1,Jumeira - 1
661,Medicure Pharmacy,صيدلية ميديكيور,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Palace Tower,Palace Tower,Nad Al Sheba,,,971-55-3283328,,,8/24/2020,FAC_ACT,153,25.11608888,55.39013986,info@medicuregroup.com,Nad Al Sheba,Nad Al Sheba
667,Blue Bell Medical Centre,مجمح بلو بيل الطبي,General Practice,طب عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Crystal Business Centre Near Adcb Metro Statation Next To Adcb Bank Karama Dubai,Al Karama,Al Karama,,,971-50-1982806,,,4/24/2020,FAC_ACT_AEX,30,25.170577,55.150404,emirates726@gmail.com,Al Karama,Al Karama
670,American Medical Center,المركز الطبي الأمريكي,Pediatrics,طب الأطفال,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Red Diamond-Pp-01-09,Al Sarayat JLT,Jumeira Lakes Towers,,,971-50-5020362,,,10/16/2020,FAC_ACT,140,25.170577,55.150404,,Jumeira Lakes Towers,Jumeira Lakes Towers
673,Karama Medical Center Alquoz Mall Br,مركز الكرامه الطبى فرع القوز مال,General Practice,طب عام,General Clinic,عيادة عامة,al quoz Mall,17b Street 15,Al Qusais Industrial - 3,,www.karamamedicalcentre.com,971-50-5440718,,,1/15/2021,FAC_ACT,80,25.12288337,55.22216092,jerrysingh77@hotmail.com,Al Qusais Industrial - 3,Al Qusais Industrial - 3
678,Klinika Dental Clinic,كلينيكا دينتال كلينيك,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),The Elite Business Center,Al Seedaf Road 1,Al Barshaa - 1,,www.klinika.ae,971-50-3468376,,,8/26/2020,FAC_ACT,132,25.11633675,55.20622005,info@klinika.ae,Al Barshaa - 1,Al Barshaa - 1
682,Ivory Aesthetic,ايفوري استاتيك,Beauty Therapy,علاج التجميل,Beauty Center Salon,مركز تجميل,Silver Tower,Al Abraj Street,Bur - Dubai,,,971-050-6783783,,,3/26/2021,FAC_ACT,1,25.18492793,55.2644111,sanam@me.com,Bur - Dubai,Bur - Dubai
686,Neuro Spinal Hospital Pharmacy,صيدلية مستشفى الجراحة العصبية والعمود الفقري,Pharmacy,الصيدلة,Hospital (In Patient) Pharmacy,صيدلية مستشفى,Al Ghaith Building,12c Street 128,Jumeira - 2,,,971-55-1125776,,,5/31/2020,FAC_ACT_AEX,111,25.19711895,55.23808736,sajid.iqbal@nshdubai.com,Jumeira - 2,Jumeira - 2
691,Al Tadawi Pharmacy,صيدلية التداوي,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Al Masood Building - Al Tadawi Pharmacy,Al Maktoum Street 93,Port Saeed,,,971-50-3565551,,,4/4/2020,FAC_ACT_AEX,32,25.25738563,55.3334751,,Port Saeed,Port Saeed
704,Nmc Specialty Hospital Pharmacy,صيدلي مستشفى ان ام سي التخصصي,Pharmacy,الصيدلة,Hospital (In Patient) Pharmacy,صيدلية مستشفى,Nmc Specialty Hospital,3 Street,Al Nahda - 1,,,971-50-8208622,,,4/4/2021,FAC_ACT,73,25.29030572,55.36946733,abdelgadir.mohamed@nmc.ae,Al Nahda - 1,Al Nahda - 1
706,Royal Dental Care Co LLC,شركة رويال دنتال كير ذ.م.,Orthodontics,تقويم أسنان,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Alshafar 7,Al Wasl Road,Al Bada,,www.royaldentcare.com,971-50-8894094,,,12/19/2020,FAC_ACT,107,25.21350833,55.25855085,info@royaldentcare.com,Al Bada,Al Bada
707,Al Jaseel Pharmacy LLC,صيدلية الجسيل ش ذ م م,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Sayed Salahuddin Sayed Mohammad Alhashimi And Sayed Hashim Sayed Mohammad Alhashimi,Alqoze 3,Al Qoze - 3,,,971-50-5248434,,,6/11/2020,FAC_ACT_AEX,121,25.170577,55.150404,aljaseelpharmacy@gmail.com,Al Qoze - 3,Al Qoze - 3
710,New Nawras Pharmacy,صيدلية النورس الجديدة,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Jafza Commercial Center,Jaffa,Jafza + ( Jebeel Ali  Housing Scheme),,,009-715-06228843,,,2/13/2021,FAC_ACT,150,24.94761455,55.08271069,newnawraspharmacy@gmail.com,Jafza + ( Jebeel Ali  Housing Scheme),Jafza + ( Jebeel Ali  Housing Scheme)
731,Aster Pharmacy 5 Br.Of Aster Pharmacies Group LLC,صيدلية استر فرع من مجموعة صيدلية استر ش.ذ.م.م,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Muhammad Ali Saeed Shaikh,CPD 29 ,Warsan - 1,,www.asterpharmacy.com,971-55-7009104,,,1/27/2021,FAC_ACT,158,25.16860529,55.40950273,aster5@asterpharmacy.com,Warsan - 1,Warsan - 1
732,Kind Care Medical Center,عيادة كايند كير الطبية,Plastic Surgery,الجراحة التجميلية,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Kind Care Medical Center,Jumeirah Beach Road,Um Suqaim - 2,,,971-50-7872212,,,2/25/2021,FAC_ACT,123,25.170577,55.150404,info@kindcare.ae,Um Suqaim - 2,Um Suqaim - 2
738,Access Clinic International City Br Of Dh Healthca,عيادة اكسس انترناشنونال سيتى فرع من د م للرعاية ا,General Practice,طب عام,General Clinic,عيادة عامة,Morocco Cluster,gg,Warsan - 1,,,971-55-7009111,,,2/1/2021,FAC_ACT,158,25.16248029,55.41871643,pr@asterdmhalthcare.com,Warsan - 1,Warsan - 1
740,Kiddy Planet Early Learning Center Branch,مركز كدي بلانيت للتعليم المبكر فرع,Nursing,التمريض,School clinic,عيادة مدرسة,Omar Alhaaj Khadem Buti Almaidoor,Al Goze First,Al Qoze - 1,,,971-050-6127012,,,2/3/2021,FAC_ACT,117,25.170577,55.150404,bisanft@hotmail.com,Al Qoze - 1,Al Qoze - 1
741,Beverly Hills Home Healthcare,بيفرلي هيلز خدمات الصحة المنزلية,General Practice,طب عام,Home Healthcare Agency,وكالة الرعاية الصحية المنزلية,332 - Api Trio Tower,36 Street,Al Barshaa - 1,,,971-50-7840924,,,3/28/2021,FAC_ACT,132,25.11225981,55.18882191,sayyidav@gmail.com,Al Barshaa - 1,Al Barshaa - 1
745,24 Hours Dental Clinic L L C,عيادة ٢٤ أورز لطب الأسنان ش ذ م م,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Holiday Inn Crown Plaza Tower,Shaik Zayed Road,Trade Center - 1,,www.24hoursdentalclinic.com,971-050-6712885,,,11/29/2020,FAC_ACT,108,25.170577,55.150404,kishi@emirates.net.ae,Trade Center - 1,Trade Center - 1
748,Thai Elite Spa,تاي ايايت سبا,Nursing,التمريض,Rehabilitation Center (1 spec),مركز إعادة تأهيل (تخصص واحد),Beach Park Plaza Centre,Jumeira Street 361,Jumeira - 2,,www.thaielitespa.com,971-55-5619332,,,6/10/2020,FAC_ACT_AEX,111,25.1988139,55.23865205,donald.collaku2@gmail.com,Jumeira - 2,Jumeira - 2
764,Willow Childrens Nursery,حضانة الاطفال ويللو,Nursing,التمريض,School clinic,عيادة مدرسة,"Willow Children’S Nursery, Street 9, Umm Sequim 2, Po Box 213027",Al Aa'zaal Street 22,Um Suqaim - 2,,jan.webber@kidsfirstgroup.com,00-971-567348901,,,3/9/2021,FAC_ACT,123,25.15316273,55.21315739,jan.webber@kidsfirstgroup.com,Um Suqaim - 2,Um Suqaim - 2
766,Dr Kamil Al Rustom Skin And Laser Centre,مركز الدكتور كميل الرستم للجلد والعلاج بالليزر,Dermatology,جلدية,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Villa #8 Dr. Kamil Al Ruston,Al Wasl Road,Al Bada,,www.alrustom-laser.com,971-50-5588125,,,2/27/2021,FAC_ACT,107,25.22663298,55.26676752,dubailaser2020@gmail.com,Al Bada,Al Bada
768,International Eye Surgery Centre Day Care Surgery LLC,المركز الدولي لجراحة العيون مركز جراحة اليوم الواحدش ذ م م,Ophthalmology,أمراض العيون,Day Surgery Center,مركز جراحة اليوم,Ahmed Abdulla Al Moosa Villa  International Medical Centre,Jumeira Street 174,Jumeira - 1,,www.iesc.ae,971-43441142,,,2/28/2021,FAC_ACT,106,25.2179453,55.252334,mecentre@emirates.net.ae,Jumeira - 1,Jumeira - 1
772,Medcare Paediatric Specialty Clinic Br Of Medcare LLC,عيادة ميدكير التخصصية للاطفال فرع من مستشفى ميدكير ش ذ م م,Pediatrics,طب الأطفال,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Matloob Building,Sheikh Sayed Road near Medcare Orthopaedic and Spine Hospital,,,,971-55-4007055,,,3/3/2021,FAC_ACT,,90,90,gr@medcarehospital.com,,
774,Hyf Medical Center,مركز هيف الطبي,Dermatology,جلدية,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Health And Health Center,2A Street 23 A,Jumeira - 1,,,971-55-6120707,,,4/2/2021,FAC_ACT,106,25.170577,55.150404,hfdxb@live.com,Jumeira - 1,Jumeira - 1
777,Rays Of Light For Early Learning,مركز طلائع النور للتعليم المبكر,General Practice,طب عام,School clinic,عيادة مدرسة,مركز طلائع النور للتعليم المبكر,al aliaa street شارع العالية,Um Suqaim - 2,,RAYSOFLIGHT-EL@HOTMAIL.COM,971-50-7370466,,,3/8/2021,FAC_ACT,123,25.170577,55.150404,alabyad@citadelhmc.com,Um Suqaim - 2,Um Suqaim - 2
779,Safari Kid Nursery Branch,سفاري كيد نرسري فرع,Nursing,التمريض,School clinic,عيادة مدرسة,"Rimal 5, Plaza Level",King Salman bin Abdulaziz Al Saud Street,Dubai Marina and Jumeira Beach,,,055-889-4781,,,3/9/2021,FAC_ACT,139,25.07528752,55.13335325,natasha.allana@mykidville.ae,Dubai Marina and Jumeira Beach,Dubai Marina and Jumeira Beach
781,Oxygen Home Healthcare Center,كسجين بيتيّة هلثكر مركز,Physiotherapy,علاج طبيعي,Home Healthcare Agency,وكالة الرعاية الصحية المنزلية,Almulla Plaza,Al Ittihad Road,Al Nahda - 1,,,971-50-5788357,,,3/10/2021,FAC_ACT,73,25.28101596,55.35703542,info@oxygenhc.com,Al Nahda - 1,Al Nahda - 1
781,Oxygen Home Healthcare Center,كسجين بيتيّة هلثكر مركز,Physiotherapy,علاج طبيعي,Home Healthcare Agency,وكالة الرعاية الصحية المنزلية,Almulla Plaza,Al Ittihad Road,Al Nahda - 1,,,971-50-5788357,,,3/10/2021,FAC_ACT,73,25.28101596,55.35703542,info@oxygenhc.com,Al Nahda - 1,Al Nahda - 1
783,Aster Homecare Br Of Dm Healthcare LLC,استر هومكير فرع من د م للرعاية الصحية ش ذ م,General Practice,طب عام,Home Healthcare Agency,وكالة الرعاية الصحية المنزلية,Al Asmawi Building,Sheikh Zayed Road,Um Al Sheif,,,971-55-7009111,,,3/13/2021,FAC_ACT,128,25.12591794,55.20516002,,Um Al Sheif,Um Al Sheif
786,Aster Gp Clinic Burdubai Br Of Dm Healthcare LLC,استر جي بي كلينيك بر دبي فرع من د م للرعاية الصحية ش د م م,General Practice,طب عام,General Clinic,عيادة عامة,Souk Al Kabeer,12th Street 3,Al Suq Al Kabeer,,,971-557009016,,,8/14/2020,FAC_ACT,98,25.26240965,55.28731383,pr@asterdmhealthcare.com,Al Suq Al Kabeer,Al Suq Al Kabeer
788,Votre Slimming Therapy Center,فوتر مركز التخسيس العلاج,Nursing,التمريض,Rehabilitation Center (1 spec),مركز إعادة تأهيل (تخصص واحد),European Business Center,dip2,Dubai Investments Park - 2,,,971-50-6227990,,,3/22/2021,FAC_ACT,10,25.00463285,55.15448766,info@votreslimmingspa.com,Dubai Investments Park - 2,Dubai Investments Park - 2
789,Super Care Pharmacy 26,صيدلية سوبركير ٢٦,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Dubai Marina Mall,Al Marsa Street,Dubai Marina and Jumeira Beach,,,971-50-1035227,,,3/15/2021,FAC_ACT,139,25.07588235,55.14077405,,Dubai Marina and Jumeira Beach,Dubai Marina and Jumeira Beach
791,Super Care Pharmacy 28,صيدلية سوبركير ٢٨,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Al Areesh Club Building,alBadia,Dubai Festival City,,,04-3445246,,,3/15/2021,FAC_ACT,142,25.22034856,55.36544259,hanan.a@supercare.ae,Dubai Festival City,Dubai Festival City
796,Eureka Home Health Care Center,مركز يوريكا لخدمات الصحة المنزلية,Nursing,التمريض,Home Healthcare Agency,وكالة الرعاية الصحية المنزلية,Business Point Building,22b Street 8,Port Saeed,,www.eurekahomehealthcare.com,971-50-3860777,,,3/22/2021,FAC_ACT,32,25.260425,55.33610705,info@eurekahomehealthcare.com,Port Saeed,Port Saeed
802,Gsm Medical Center LLC,مجمع جي اس ام الطبي ش ذ م م,Obstetrics and Gynecology,أمراض النساء والولادة,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),European Busniss Center - Ebc,gg,Dubai City Industrial - 1,,info@gsmmedicalcenter.com,971-056-1389515,,,3/28/2021,FAC_ACT,175,25.00445926,55.15484829,alabyad@citadelhmc.com,Dubai City Industrial - 1,Dubai City Industrial - 1
806,Medcare Physiotherapy And Rehabilitation Centre,مركز ميدكير للعلاج الطبيعي والتأهيل فرع من مستشفى,Physiotherapy,علاج طبيعي,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Sheik Saeed Bin Maktoum Bin Juma Al,Safa - 1,Al Safa - 1,,,971-55-4007055,,,4/2/2021,FAC_ACT,116,25.170577,55.150404,gr@medcarehospital.com,Al Safa - 1,Al Safa - 1
807,Mediclinic Dubai Mall Pharmacy,ميديى كلينك دبيى مول صيد لية,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Dubai Mall,Dubai financial road,BURJ DUBAI,,,9.71565E+11,,,6/28/2020,FAC_ACT_AEX,253,25.19824979,55.2777834,jassim.albalooshi@mediclinic.ae,BURJ DUBAI,BURJ DUBAI
809,Little Gems International Nursery Al Barsha,حضانة ليتل جيمس انترناشونال البرشا,Nursing,التمريض,School clinic,عيادة مدرسة,Little Gems International Nursery Al Barsha,14a Street 62,Al Barshaa - 3,,,971-55-7778727,,,4/4/2021,FAC_ACT,133,25.09915202,55.19075648,l.sivin_lab@gemsedu.com,Al Barshaa - 3,Al Barshaa - 3
813,Kuur Physiotherapy Center LLC,مركز كيور للعلاج الطبيعى ش ذ م م,Physiotherapy,علاج طبيعي,Rehabilitation Center (1 spec),مركز إعادة تأهيل (تخصص واحد),Sidra Tower,Sh Zayed Rd,Al Sufouh - 1,,www.kuur-rehab.com,971-50-4241553,,,5/25/2021,FAC_ACT,131,25.10792264,55.17858172,katjamechler@kuur-rehab.com,Al Sufouh - 1,Al Sufouh - 1
814,Venocare Vascular Surgery Clinic,عيادة فينوكير للأوعية الدموية,Vascular Surgery,جراحة الأوعية الدموية,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Jumeirah Terrace Bldg Pr1004,1st Street 7,Jumeira - 1,,www.venocaredubai.com,971-52-9936643,,,8/31/2020,FAC_ACT,106,25.23915911,55.27106695,manager@venocaredubai.com,Jumeira - 1,Jumeira - 1
818,Active Mindz Nursery,حضانة اكتيف مايندز,Nursing,التمريض,School clinic,عيادة مدرسة,Sama Residence,gg,Al Nahda - 1,,,971-55-5292065,,,4/7/2021,FAC_ACT,73,25.28444943,55.3598633,activemindznursery@gmail.com,Al Nahda - 1,Al Nahda - 1
820,Aster Medical Centre Internationalcity Br Of Dm H,استر ميديكل سنتر انترناشيونال سيتي فرع من د م للرع,Pediatrics,طب الأطفال,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Radiant Real Estate Broker LLC,Al Warsan First,Warsan - 1,,,971-55-7009111,,,5/9/2020,FAC_ACT_AEX,158,25.170577,55.150404,pr@asterdmhealthcare.com,Warsan - 1,Warsan - 1
826,Medi Family Polyclinic FZE,عيادة ميدي فاميلي م م ح ,Family Medicine,طب الأسرة,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Sit Tower,gg,Nadd Hessa,,www.medifamilydubai.com,971-55-7394927  04-3922267  04-3922268,,,12/15/2020,FAC_ACT,179,25.11758127,55.3908193,dr_syedhasnain@yahoo.com,Nadd Hessa,Nadd Hessa
828,Wellmed Poly Clinic LLC,مجمع ويلميد الطبي ش.ذ.م.م,Plastic Surgery,الجراحة التجميلية,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Wasl Properties,2a Street 21,Jumeira - 1,,www.wellmeddubai.com,971-056-6196111,,,6/7/2020,FAC_ACT_AEX,106,25.23181439,55.26150543,clinic@wellmeddubai.com,Jumeira - 1,Jumeira - 1
830,Al Manara Pharmacy Branch,صيدلية المنارة فرع,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Dubai Silicon Oasis Sit Tower,silicon oasis ,Nad Al Sheba,,,971-55-5664306,,,4/27/2021,FAC_ACT,153,25.11784505,55.39087152,aneermen@hotmail.com,Nad Al Sheba,Nad Al Sheba
844,Sands Community Pharmacy,صيدلية ساندز كوميونتي,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Remraam Community Centre,remraam,Remraam,,,,,,5/4/2020,FAC_ACT_AEX,240,25.0019613,55.25281101,,Remraam,Remraam
857,Dabi Smile Dental Clinic LLC,عيادة دبا سمايل لطب الأسنان ش ذم م,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Jumeira 352,Jumeirah Beach Road,Jumeira - 3,,,971-56-6576662,,,3/16/2021,FAC_ACT,115,25.170577,55.150404,shagran75@yahoo.com,Jumeira - 3,Jumeira - 3
869,Dr Shyams Ayurveda Centre Branch,مركز الدكتور شيام للايروفيدا فرع,Ayurvedic Medicine,طب الهندي التقليدي,Rehabilitation Center (1 spec),مركز إعادة تأهيل (تخصص واحد),Al Shafar Building,Al Wasl Road,Al Bada,,,971-50-6381722,,,3/25/2021,FAC_ACT,107,25.21359797,55.2584096,dtshyam@eim.ae,Al Bada,Al Bada
870,My Dental Clinic LLC,عيادة ماي دينتال لطب الأسنان ش.ذ.م.م,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Villa 61A,Al Thanya Street,Um Suqaim - 2,,www.mydentalclinic.ae,971-052-6656888,,,5/30/2020,FAC_ACT_AEX,123,25.170577,55.150404,carl@mydentalclinic.ae,Um Suqaim - 2,Um Suqaim - 2
872,The Hundred Wellness Center,ذي هاندرد للياقه البدنيه,Homeopathy,طب المثلي,Rehabilitation Center (3 specs or more),مركز إعادة تأهيل (ثلاث تخصصات وأكثر),The Hundred Wellness Center,53b Street 21,Jumeira - 1,,www.thehundred.ae,971-50-4543567,,,5/31/2020,FAC_ACT_AEX,106,25.22093864,55.25924057,info@thehundred.ae,Jumeira - 1,Jumeira - 1
874,Blossom Nursery 2,بلاسوم نيرسرى ٢,Nursing,التمريض,School clinic,عيادة مدرسة,Leisure center,Wadi al safa 7,,,www.theblossomnursery.com,971-50-8594386,,,6/2/2020,FAC_ACT_AEX,,90,90,robin@theblossomnursery.com,,
877,Excellency Physiotherapy Center,مركز اكسلانسي للعلاج الطبيعي,Physiotherapy,علاج طبيعي,Rehabilitation Center (1 spec),مركز إعادة تأهيل (تخصص واحد),Al Saaha,alsaaha,Bur - Dubai,,www.excellencycenters.com,971-50-4782750,,,6/5/2020,FAC_ACT_AEX,1,25.19292774,55.27671582,papastergiou@excellencycenters.com,Bur - Dubai,Bur - Dubai
